SYMBOL,EXPIRY_DT,TRADE_DATE,OPEN,HIGH,LOW,CMP,CASH_CHG,INDX_GRP,INDX_WTG,PUT_INT,CALL_INT,COMB_INT,CALL_LOW,CALL_HIGH,PUT_HIGH,PUT_LOW,UNUSED_PC,UNUSED_PC_REV,TREND_PRICE1,TREND_PRICE2,CALL_OI,PUT_OI,CALL_DIFF,PUT_DIFF,COMB_DIFF
AARTIIND,2025-06-26,2025-05-30,480.0,483.45,466.9,468.85,-10,,0,434.24,499.85,475.13,477.79,522.27,467.34,428.43,1.01,0.99,477.37,477.99,3915000,3561000,0,0,475.13
AARTIIND,2025-06-26,2025-06-02,470.0,472.85,463.25,471.2,2,,0,434.27,499.57,473.57,477.81,522.1,467.34,423.55,0.82,1.21,478.15,481.37,4198000,3633000,496.28,435.51,473.75
AARTIIND,2025-06-26,2025-06-03,472.0,480.0,469.55,470,-1,,0,436.81,499.58,474.69,477.81,522.11,467.3,423.39,0.88,1.13,477.76,480.04,4266000,3916000,497.79,435.83,474.84
AARTIIND,2025-06-26,2025-06-04,472.65,483.95,468.3,483.5,14,,0,432.62,499.6,476.16,477.79,522.1,462.37,423.78,0.57,1.75,479.57,488.37,4590000,6399000,498.71,435.15,476.25
AARTIIND,2025-06-26,2025-06-05,487.0,490.05,477.45,480.75,-3,,0,433.07,498.83,476.67,477.84,522.14,467.37,423.69,0.57,1.74,480.29,487.1,5092000,6371000,498.15,435.36,476.74
AARTIIND,2025-06-26,2025-06-06,481.95,483.4,476.1,476.55,-4,,0,433.76,498.66,476.71,477.85,522.14,467.35,423.56,0.74,1.36,479.47,482.84,5352000,6304000,498.4,435.45,476.78
AARTIIND,2025-06-26,2025-06-09,479.75,486.9,478.35,483,6,,0,434.3,495.74,476.59,477.97,517.29,472.33,423.48,0.45,2.23,480.58,489.23,6348000,6623000,497.41,436.09,476.63
AARTIIND,2025-06-26,2025-06-10,486.0,492.4,480.65,481.5,-2,,0,433.4,499.06,477.87,482.9,517.32,472.36,423.61,0.56,1.79,481.93,490.24,7082000,7782000,497.84,435.7,477.92
AARTIIND,2025-06-26,2025-06-11,485.0,489.9,473.3,478.75,-3,,0,447.59,499.73,479.11,482.79,522.31,477.23,423.22,0.7,1.42,482.88,487.6,6982000,5798000,498.85,436.89,479.18
AARTIIND,2025-06-26,2025-06-12,479.75,482.9,468.0,468.95,-10,,0,450.52,498.45,477.73,482.82,517.27,477.21,423.14,1.22,0.82,480.99,477.99,7312000,5299000,498.24,438.32,477.8
AARTIIND,2025-06-26,2025-06-13,464.0,467.8,457.5,462.3,-7,,0,454.36,497.68,475.73,482.82,512.3,482.22,422.98,1.7,0.59,480.54,473.58,8505000,4620000,497.23,0,475.79
AARTIIND,2025-07-31,2025-05-30,480.0,483.45,466.9,468.85,-10,,0,383.64,504.67,496.33,498.37,521.56,517.12,363.52,0.7,1.43,504.4,516.23,38425,25175,392.67,390,461.33
AARTIIND,2025-07-31,2025-06-02,470.0,472.85,463.25,0,0,,0,0,0,0,0,0,0,0,0.5,1.99,503.28,512.62,58300,26500,491.54,494,490.77
AARTIIND,2025-07-31,2025-06-03,472.0,480.0,469.55,0,0,,0,0,0,0,0,0,0,0,0.44,2.25,503.11,513.6,66250,29150,491.3,502.86,490.56
AARTIIND,2025-07-31,2025-06-04,472.65,483.95,468.3,0,0,,0,0,0,0,0,0,0,0,0.41,2.41,501.56,513.86,100700,119250,480.79,461.43,480.26
AARTIIND,2025-07-31,2025-06-05,487.0,490.05,477.45,0,0,,0,0,0,0,0,0,0,0,0.4,2.47,502.5,521.54,104675,129850,496.05,501.56,495.39
